тьма,0
война,1
слёзы,1
слёзы,1
ненависть,1
свет,1
добро,0
грусть,1
надежда,1
надежда,1
добро,0
слёзы,0
тьма,1
зло,1
счастье,0
счастье,0
грусть,1
добро,0
вера,0
мир,1
вера,0
отчаяние,0
грусть,1
любовь,1
мир,0
отчаяние,1
холод,0
счастье,0
грусть,1
слёзы,1
вера,1
счастье,1
мир,1
мир,1
холод,1
добро,0
война,1
надежда,1
радость,1
радость,1
зло,0
тьма,0
ненависть,1
слёзы,1
слёзы,1
отчаяние,1
грусть,1
тепло,0
ненависть,0
радость,1
холод,0
тепло,1
вера,1
счастье,0
радость,0
грусть,1
радость,0
война,0
счастье,0
грусть,1
страх,0
война,0
вера,0
улыбка,0
добро,1
зло,1
добро,0
свет,0
грусть,0
вера,0
свет,0
холод,1
счастье,0
свет,1
радость,1
тьма,0
печаль,1
свет,0
вера,0
зло,0
любовь,1
отчаяние,0
добро,0
радость,0
слёзы,0
счастье,0
холод,1
улыбка,1
ненависть,0
ненависть,0
добро,0
ненависть,0
зло,0
война,1
свет,1
война,1
холод,1
добро,0
радость,0
мир,0
свет,1
тьма,1
вера,0
счастье,0
мир,0
свет,0
надежда,0
улыбка,1
любовь,0
зло,0
тьма,0
надежда,1
ненависть,0
вера,0
счастье,1
ненависть,1
тепло,0
грусть,0
печаль,1
добро,0
вера,0
улыбка,1
вера,0
тьма,0
любовь,1
печаль,0
любовь,0
надежда,0
улыбка,0
любовь,0
вера,0
свет,0
война,0
свет,1
война,1
добро,1
мир,0
слёзы,1
слёзы,0
надежда,1
вера,1
улыбка,1
свет,1
счастье,0
холод,0
свет,0
тепло,0
радость,0
слёзы,0
радость,0
война,0
свет,1
тепло,1
холод,0
свет,1
тьма,1
любовь,0
счастье,1
вера,0
отчаяние,0
холод,0
радость,0
мир,0
война,0
свет,0
печаль,0
тепло,0
ненависть,1
радость,0
мир,0
ненависть,1
надежда,1
любовь,0
зло,0
добро,1
тьма,1
холод,1
любовь,1
печаль,0
добро,0
счастье,1
тепло,0
холод,1
улыбка,1
отчаяние,0
холод,0
грусть,1
мир,0
печаль,1
добро,0
надежда,0
зло,0
страх,1
любовь,1
свет,0
мир,1
война,1
вера,1
улыбка,0
зло,1
тепло,1
страх,1
печаль,0
холод,1
война,1
мир,1
зло,1
улыбка,0
мир,1
слёзы,0
улыбка,1
свет,1
мир,0
слёзы,1
грусть,1
любовь,1
мир,0
вера,0
зло,1
вера,0
ненависть,0
печаль,0
страх,1
радость,0
ненависть,1
холод,1
свет,1
печаль,1
надежда,1
добро,0
мир,1
война,0
тьма,1
радость,1
мир,1
слёзы,1
слёзы,0
добро,1
надежда,0
счастье,1
холод,0
грусть,0
зло,0
свет,1
мир,1
счастье,1
война,1
вера,0
зло,1
слёзы,0
любовь,0
добро,0
надежда,1
печаль,1
ненависть,0
тепло,1
счастье,1
счастье,1
слёзы,1
война,1
ненависть,0
страх,0
печаль,1
война,0
улыбка,1
слёзы,1
счастье,0
любовь,0
холод,1
любовь,1
свет,0
холод,1
любовь,1
зло,1
тепло,0
вера,1
холод,0
радость,1
мир,1
отчаяние,1
радость,1
тепло,0
холод,0
тьма,1
грусть,1
отчаяние,0
ненависть,1
счастье,1
ненависть,0
счастье,1
радость,1
тепло,1
война,1
свет,0
грусть,1
холод,0
тьма,1
ненависть,0
отчаяние,1
холод,1
любовь,1
тьма,1
слёзы,1
слёзы,0
радость,0
печаль,1
тепло,0
слёзы,0
отчаяние,1
печаль,0
свет,0
тепло,0
слёзы,0
печаль,0
страх,1
вера,0
холод,1
холод,1
улыбка,0
слёзы,0
тепло,0
надежда,0
счастье,0
зло,0
надежда,0
радость,0
слёзы,0
добро,0
любовь,1
страх,0
тьма,1
грусть,0
тепло,1
война,1
мир,1
мир,0
зло,0
слёзы,1
вера,1
страх,1
тепло,0
холод,1
надежда,0
грусть,0
грусть,0
зло,0
тьма,1
страх,0
улыбка,0
отчаяние,0
тьма,0
любовь,0
счастье,1
страх,1
радость,0
вера,1
война,0
война,0
отчаяние,1
ненависть,0
грусть,0
улыбка,1
тепло,1
добро,1
страх,1
страх,0
добро,0
мир,0
грусть,0
вера,0
любовь,1
счастье,0
отчаяние,1
радость,0
слёзы,0
добро,0
вера,1
война,0
тьма,0
холод,0
добро,0
добро,0
любовь,0
холод,0
ненависть,0
тьма,1
тьма,1
надежда,0
отчаяние,1
страх,1
тьма,0
слёзы,1
зло,0
печаль,0
ненависть,1
свет,1
война,1
свет,1
грусть,0
вера,0
зло,1
любовь,1
страх,1
грусть,0
слёзы,1
счастье,1
страх,0
добро,0
надежда,1
надежда,0
война,0
тьма,0
вера,1
зло,0
мир,0
тьма,0
отчаяние,1
ненависть,1
слёзы,0
тепло,0
любовь,0
слёзы,1
мир,0
тепло,1
грусть,1
вера,0
отчаяние,0
улыбка,1
любовь,0
слёзы,1
страх,1
страх,1
надежда,0
вера,0
слёзы,1
ненависть,1
грусть,1
тепло,1
ненависть,0
отчаяние,0
отчаяние,1
счастье,0
война,1
мир,1
мир,0
любовь,1
радость,0
радость,0
вера,0
холод,0
холод,0
надежда,1
отчаяние,0
любовь,1
слёзы,0
улыбка,1
война,0
холод,1
любовь,0
тьма,1
слёзы,1
радость,1
вера,1
слёзы,1
мир,0
вера,1
улыбка,0
счастье,0
грусть,1
радость,0
ненависть,0
зло,0
мир,0
вера,1
ненависть,1
холод,0
тепло,0
надежда,0
добро,0
ненависть,1
любовь,0
радость,1
грусть,1
грусть,0
улыбка,0
вера,0
ненависть,1
ненависть,1
отчаяние,1
счастье,1
страх,0
война,0
свет,0
тьма,1
слёзы,0
страх,0
счастье,0
война,0
война,1
тьма,1
добро,1
любовь,0
надежда,0
мир,0
грусть,0
радость,0
мир,0
война,1
надежда,1
свет,1
мир,0
мир,1
ненависть,0
улыбка,1
холод,0
отчаяние,1
зло,0
радость,0
счастье,1
печаль,0
грусть,0
улыбка,1
надежда,1
слёзы,1
вера,0
печаль,0
счастье,0
надежда,1
слёзы,0
добро,1
любовь,0
вера,1
добро,0
слёзы,1
любовь,1
мир,1
грусть,1
холод,0
радость,0
отчаяние,1
улыбка,0
счастье,0
добро,1
тьма,1
свет,0
вера,0
свет,0
страх,0
свет,0
холод,0
отчаяние,1
свет,1
свет,1
слёзы,0
счастье,1
добро,1
грусть,1
страх,1
радость,0
ненависть,0
война,0
радость,1
тьма,1
мир,0
вера,1
слёзы,0
улыбка,1
отчаяние,1
улыбка,0
печаль,0
тепло,0
отчаяние,0
страх,1
тьма,0
холод,1
тепло,0
улыбка,0
улыбка,1
печаль,1
улыбка,0
тепло,0
зло,0
улыбка,1
любовь,0
улыбка,0
мир,1
зло,1
любовь,1
печаль,1
печаль,1
тепло,1
надежда,0
улыбка,1
надежда,0
надежда,1
страх,0
тепло,1
счастье,1
надежда,0
любовь,1
любовь,0
радость,1
мир,1
счастье,1
добро,1
тепло,1
счастье,0
тепло,0
добро,0
добро,0
слёзы,1
слёзы,0
тепло,1
любовь,1
свет,1
любовь,1
печаль,0
печаль,0
отчаяние,0
отчаяние,0
тьма,0
отчаяние,0
вера,0
слёзы,1
война,1
надежда,1
зло,0
грусть,0
улыбка,1
грусть,1
улыбка,0
отчаяние,0
свет,1
грусть,1
слёзы,1
печаль,1
улыбка,1
отчаяние,1
грусть,0
ненависть,1
отчаяние,1
тьма,0
вера,0
слёзы,1
добро,0
вера,0
надежда,1
война,0
слёзы,0
добро,1
мир,1
надежда,0
любовь,0
слёзы,0
тьма,1
счастье,0
война,0
улыбка,1
ненависть,1
тепло,1
свет,1
отчаяние,0
мир,1
тепло,0
зло,1
война,0
тепло,0
свет,1
страх,1
тепло,0
любовь,1
слёзы,0
холод,1
зло,0
холод,1
грусть,1
страх,1
грусть,0
холод,0
радость,0
грусть,0
печаль,1
холод,1
любовь,1
